policy_id,reference_policy_id,metric,paired_mean_difference,paired_median_difference,bootstrap_ci_low,bootstrap_ci_high,win_share,tie_share,loss_share
recovered_financial__best_model,recovered_financial__checkpoint_22288,normalized_accounting_profit,0.013171216087553447,0.008059911722747864,0.007026173937588252,0.01949291332595114,0.5,0.5,0.0
recovered_financial__best_model,recovered_financial__checkpoint_22288,raw_accounting_profit,0.0286409992233349,0.014245852714060064,0.014219344180712997,0.04563599908914928,0.5,0.5,0.0
recovered_financial__best_model,recovered_financial__checkpoint_22288,revenue,0.028640999223334913,0.014245852714060037,0.013479489791522145,0.047562373157285155,0.5,0.5,0.0
recovered_financial__best_model,recovered_financial__checkpoint_22288,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__best_model,recovered_financial__checkpoint_22288,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__best_model,recovered_financial__checkpoint_22288,sell_through_rate,-1.1102230246251566e-17,0.0,-3.3306690738754695e-17,0.0,0.0,0.95,0.05
recovered_financial__best_model,recovered_financial__checkpoint_22288,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__best_model,recovered_financial__checkpoint_22288,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_17288,always_0pct,episode_return,-0.01810443215691033,-0.021720138236541092,-0.023057313878507634,-0.012173384700705144,0.0,0.3,0.7
recovered_financial__checkpoint_17288,always_0pct,normalized_accounting_profit,-0.01810443215691034,-0.021720138236541064,-0.023677472494080917,-0.012192496337230277,0.0,0.3,0.7
recovered_financial__checkpoint_17288,always_0pct,raw_accounting_profit,-0.03627952643922431,-0.03232610928618623,-0.054217430470832856,-0.020921693012796484,0.0,0.3,0.7
recovered_financial__checkpoint_17288,always_0pct,revenue,-0.03627952643922434,-0.03232610928618629,-0.0537772040331999,-0.02330092279038764,0.0,0.3,0.7
recovered_financial__checkpoint_17288,always_0pct,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_17288,always_0pct,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_17288,always_0pct,sell_through_rate,5.551115123125783e-18,0.0,-1.6653345369377347e-17,3.3306690738754695e-17,0.05,0.9,0.05
recovered_financial__checkpoint_17288,always_0pct,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_17288,always_0pct,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_17288,recovered_financial__checkpoint_22288,episode_return,-0.004933216069356899,0.0,-0.009110263447795598,-0.001208664649600419,0.0,0.75,0.25
recovered_financial__checkpoint_17288,recovered_financial__checkpoint_22288,normalized_accounting_profit,-0.004933216069356891,0.0,-0.009212783258874339,-0.0011959911276060698,0.0,0.75,0.25
recovered_financial__checkpoint_17288,recovered_financial__checkpoint_22288,raw_accounting_profit,-0.007638527215889407,0.0,-0.014627109428177609,-0.0016882000352474893,0.0,0.75,0.25
recovered_financial__checkpoint_17288,recovered_financial__checkpoint_22288,revenue,-0.0076385272158894235,0.0,-0.015207730070618342,-0.001680963783479017,0.0,0.75,0.25
recovered_financial__checkpoint_17288,recovered_financial__checkpoint_22288,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__checkpoint_17288,recovered_financial__checkpoint_22288,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
